title,price_in_aed,kilometers,body_condition,mechanical_condition,seller_type,body_type,no_of_cylinders,transmission_type,regional_specs,horsepower,fuel_type,steering_side,year,color,emirate,motors_trim,company,model,date_posted
AED1082/month | 2016 Mazda CX-5 2.0L | GCC specifications | Ref#13360,"59,000",72773,Perfect inside and out,Perfect inside and out,Dealer,SUV,4,Automatic Transmission,GCC Specs,150 - 200 HP,Gasoline,Left Hand Side,2016,Blue, Abu Dhabi,Other,mazda,cx-5,2/5/2022
MERCEDES GLC300 2020 (low mileage),"149,000",29000,Perfect inside and out,Perfect inside and out,Owner,SUV,4,Automatic Transmission,North American Specs,200 - 300 HP,Gasoline,Left Hand Side,2020,Black, Dubai,GLC 300 4MATIC,mercedes-benz,glc,28/04/2022
ROLLS-ROYCE GHOST MODEL 2021,"1,890,000",2408,Perfect inside and out,Perfect inside and out,Dealer,Sedan,12,Automatic Transmission,GCC Specs,600 - 700 HP,Gasoline,Left Hand Side,2021,Green, Dubai,Standard,rolls-royce,ghost,17/03/2022
ROLLS ROYCE GHOST,"325,000",80000,Perfect inside and out,Perfect inside and out,Owner,Sedan,12,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2011,Grey, Abu Dhabi,Standard,rolls-royce,ghost,13/05/2022
Porsche “Turbo S” Local Agency Al Nabooda Fully Loaded Top of the Line (Nardo Grey),"920,000",5350,Perfect inside and out,Perfect inside and out,Owner,Coupe,6,Automatic Transmission,GCC Specs,700 - 800 HP,Gasoline,Left Hand Side,2021,Grey, Dubai,Turbo S,porsche,carrera,13/05/2022
Porsche Cayenne GTS,"155,000",100000,Perfect inside and out,"Minor faults, all fixed",Owner,SUV,8,Automatic Transmission,European Specs,400 - 500 HP,Gasoline,Left Hand Side,2014,White, Dubai,GTS,porsche,cayenne,10/5/2022
Inspected Car | 2014 Mercedes-Benz E200 1.8L | Full Mercedes-Benz Service | GCC | Ref#11657,"55,000",147342,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4,Automatic Transmission,GCC Specs,150 - 200 HP,Gasoline,Left Hand Side,2014,White, Dubai,E 200,mercedes-benz,e-class,12/4/2022
2016 TOYOTA HILUX GCC MONSTER DESIGN,"110,000",22000,Perfect inside and out,Perfect inside and out,Dealer,Pick Up Truck,4,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2016,Black, Dubai,Double Cab GLX AWD P,toyota,hilux,18/01/2022
Nissan Navara | 2017 |  Double Cabin | Automatic | Full Service History | Well Maintained | Excellen,"42,000",170000,Perfect inside and out,Perfect inside and out,Dealer,Pick Up Truck,4,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2017,White, Dubai,Other,nissan,navara,9/5/2022
2021 Porsche 911 Carrera 4S GCC Specs Full KEYVANY body kit,"685,000",8500,Perfect inside and out,Perfect inside and out,Dealer,Coupe,6,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2021,Green, Dubai,Carrera 4S,porsche,carrera,11/3/2022
